id,song_name,class,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
11,Bonnie Tyler - Total Eclipse of the Heart.mp3,sad,1,129.1992188,162877,1282.496063,0.271930177,0.302700028,0.091627307,0.421102029,0.282977046,0.080076008,0.23802667,0.163329843,0.026676638,2.321361634,22.96136834,527.224436,-9.634292097,58.87850751,3466.678646,0.011873367,2.576473109,6.638213679,2.272249937,1.917987227,3.678674936,2170.832467,611.3881309,373795.4466,1953.28201,406.1581802,164964.4673,23.70792469,6.938499402,48.14277395,3939.21368,1221.556987,1492201.472,0.998802059,1.576373648,2.484953877,-0.002788675,0.080037797,0.006406049,0.118865872,0.050058968,0.0025059,0.00000405,0.083132863,0.006911073,-0.0000222,0.044358771,0.001967701,4.288725624,2.341742499,5.483757933
12,Breaking Benjamin - Breath.mp3,happy,2,92.28515625,113335,1259.277778,0.396369489,0.284254401,0.080800565,0.455142365,0.278811698,0.077735963,0.242566925,0.156507572,0.02449462,14.01458824,73.58552948,5414.830149,5.870747545,31.29247474,979.2189753,0.005343709,2.13405156,4.554176062,6.657815456,2.263454914,5.123228073,2297.396476,706.1790814,498688.895,2435.428403,488.8099214,238935.1392,20.47385432,6.463104091,41.77171449,4924.782721,1564.307282,2447057.274,3.217956805,3.651106068,13.33057552,-0.006948982,0.078250439,0.006123131,0.098866749,0.044492392,0.001979573,0.0000023,0.197886735,0.03915916,-0.0000308,0.098269477,0.00965689,2.775945578,1.819598304,3.310937988
13,Breaking Benjamin - I Will Not Bow.mp3,angry,4,107.6660156,131015,1259.759615,0.454749297,0.276858766,0.076650777,0.519307059,0.279829394,0.07830449,0.256522975,0.132398251,0.017529297,22.7630754,130.2865158,16974.57619,6.011973516,30.30760478,918.5509072,0.012180728,2.02058726,4.082772874,8.239292145,3.566739082,12.72162819,2736.437967,700.7225646,491012.1125,2584.263729,446.1937209,199088.8366,19.83836196,6.974203171,48.63950988,5698.290543,1356.499374,1840090.551,3.932229778,4.604011199,21.19691912,0.013427586,0.074149712,0.00549818,0.126941976,0.0630339,0.003973273,0.00000651,0.242872566,0.058987081,0.0000251,0.129716977,0.016826494,6.032544218,2.300540956,5.292488691
14,Breaking Benjamin - Into the Nothing.mp3,angry,4,95.703125,117594,1264.451613,0.467404991,0.276425128,0.076410851,0.467367862,0.277421652,0.076962773,0.249772923,0.144730163,0.02094682,25.05559995,116.2035881,13503.2739,8.708448371,23.51670469,553.0353997,0.013760307,2.141404861,4.585614781,9.290811539,1.329018354,1.76628983,2576.623891,758.5768228,575438.7961,2630.615574,378.470166,143239.6666,19.63944687,7.326305717,53.67475546,5630.645119,1464.339782,2144290.997,4.380989291,4.554014299,20.73904624,0.000707387,0.073122949,0.005346966,0.107878221,0.055249994,0.003052562,0.00000838,0.26386112,0.069622695,0.000203638,0.125312135,0.015703131,5.979138322,3.538811743,12.52318855
15,Breaking Benjamin - The Diary of Jane.mp3,sad,1,83.35433468,97869,1223.3625,0.448234046,0.290374201,0.084317177,0.496579418,0.28327459,0.080244493,0.247830579,0.148031543,0.021913338,3.136189496,16.41105926,269.3228661,0.100834315,40.2192699,1617.589671,0.012330392,2.012192377,4.048918163,3.206317663,1.156541944,1.337589145,2559.494232,886.7918066,786399.7083,2413.081282,649.974529,422466.8884,20.57333583,8.058157569,64.93390341,5248.909927,1843.138435,3397159.29,1.680687013,1.964607174,3.859681347,-0.028696992,0.074541635,0.005556455,0.131191384,0.061219679,0.003747849,-0.000000634,0.088962898,0.007914397,0.0000373,0.054132815,0.002930362,3.646693878,1.759200449,3.094786221
16,Buckcherry vs The Prodigy - Crazy Bitch vs Girls.mp3,happy,2,123.046875,138193,1191.318966,0.484846595,0.298187343,0.088915691,0.528964057,0.282039846,0.079546475,0.262262598,0.120630275,0.014551663,22.82086316,178.0462646,31700.47235,5.838676459,31.76448503,1008.98251,0.004356527,4.43373736,19.65802698,8.748059273,3.853826761,14.85198116,2611.001127,891.9444653,795564.9292,2558.014327,489.432179,239543.8579,18.53984543,6.834016124,46.70377639,5458.266995,1732.339606,3001000.511,4.057726691,4.863786848,23.65642251,0.007551954,0.052077383,0.002712054,0.108621792,0.071305098,0.005084417,0.069523379,0.194745436,0.037925787,0.009843239,0.186252549,0.034690011,2.142040816,1.142904826,1.306231441
17,Dangerkids - Cut Me Out.mp3,happy,2,135.9991776,175185,1269.456522,0.3958758,0.287968708,0.082925977,0.413221524,0.279513041,0.07812754,0.236254215,0.16588333,0.027517279,16.43499268,86.67369702,7512.329755,6.160606666,33.09131347,1095.035027,0.011221741,2.096554143,4.395539274,7.195658684,2.734534979,7.477682114,2433.756941,900.8447633,811521.2876,2370.158518,718.7005028,516530.4127,19.40367777,6.811914725,46.40218222,5082.994264,1952.464154,3812116.271,3.758330857,4.382051782,19.20237782,-0.008157792,0.086879214,0.007547998,0.110705113,0.052257411,0.002730837,0.00000505,0.208215848,0.043353837,0.000171728,0.111212038,0.012368117,2.129269841,1.171310353,1.371967943
18,Data - One in A Million.mp3,happy,2,123.046875,153383,1369.491071,0.386756091,0.306088936,0.093690437,0.563429303,0.266463113,0.071002591,0.264697406,0.115189482,0.013268617,21.63702725,141.882844,20130.74142,2.7213725,29.09887687,846.7446352,0.011374116,2.613571113,6.830753964,8.071249962,3.845243692,14.78589821,2580.425996,878.7271091,772161.3323,2501.706637,385.0069165,148230.3257,19.56973134,6.529178752,42.63017518,5319.538667,1592.881162,2537270.395,4.031660511,4.928140297,24.28656678,0.003895271,0.061088764,0.003731837,0.131912657,0.084198664,0.007089415,-0.0000776,0.201241747,0.040498242,0.0000913,0.187978268,0.035335828,5.326657596,2.338082253,5.46662862
19,Demi Lovato - Heart Attack.mp3,sad,1,86.1328125,102981,1240.73494,0.328519301,0.313138987,0.098056025,0.465974507,0.298777519,0.089268006,0.252162857,0.140524826,0.019747227,3.165634164,25.71299902,661.1583187,-2.545148752,33.94254424,1152.09631,0.003179118,2.628647993,6.909790272,3.132388115,1.411688805,1.992865443,3169.081882,832.4739737,693012.9169,2819.827353,376.182783,141513.4862,20.32481925,6.407512786,41.0562201,6570.801934,1521.90087,2316182.257,1.372887568,1.641471213,2.694427743,-0.00104019,0.07577384,0.005741675,0.152663665,0.086358972,0.007457872,-0.000000249,0.087481767,0.00765306,-0.0000992,0.060471952,0.003656857,1.791419501,1.035939872,1.073171418
20,Escape The Fate - You're So Beautiful.mp3,happy,2,95.703125,122044,1341.142857,0.421849818,0.306647529,0.094032707,0.550773026,0.257694223,0.066406313,0.267766004,0.10786427,0.011634701,10.59940922,57.23674689,3276.045195,4.597677427,24.8762513,618.8278786,0.011206009,2.085952305,4.351197018,6.117223263,1.803445101,3.252414227,3068.835651,616.8225552,380470.0647,2657.643177,251.3394521,63171.52016,19.07042958,6.990074181,48.86113706,6186.387592,962.0405944,925522.1052,3.266151421,3.587866795,12.87278814,0.011968534,0.053901292,0.002905349,0.156901735,0.064431478,0.004151415,0.00000283,0.155514091,0.024184631,0.00000107,0.109294571,0.011945303,3.792979592,1.640983536,2.692826965
21,Evanescence - Bring me to Life.mp3,sad,1,95.703125,107784,1298.60241,0.340195852,0.302053439,0.09123628,0.493420379,0.278402829,0.077508135,0.247131189,0.149196208,0.022259509,6.033988021,37.68174366,1419.913805,4.168183867,46.89909685,2199.525285,-0.000221827,1.781880068,3.175096577,4.312673092,1.545769453,2.389403105,1705.036592,908.744262,825816.1337,1994.561724,613.618628,376527.8206,19.9782589,7.375417855,54.39678853,3353.075558,1862.625881,3469375.171,1.890227812,2.345068729,5.499347344,0.011950872,0.058401508,0.003410736,0.078947557,0.062552936,0.00391287,-0.0000739,0.132372186,0.017522395,-0.00062404,0.05609706,0.00314688,11.03760544,5.605050202,31.41658777
22,Evans Blue- Cold But Im still here.mp3,sad,1,135.9991776,179373,1290.453237,0.433761231,0.279999101,0.078399497,0.479192749,0.280021093,0.078411813,0.250880037,0.142802452,0.02039254,3.142744341,14.34181315,205.6876045,1.069658741,43.62572604,1903.203973,0.008757593,2.286287253,5.227109403,3.181661844,1.008893371,1.017865777,1954.530726,697.8159715,486947.1301,2135.535296,622.1728452,387099.0493,23.03874562,13.71419195,188.0790609,4184.916361,1642.931228,2699223.019,1.711025023,1.93860204,3.758177871,-0.0135201,0.082926099,0.006876738,0.095124897,0.039668243,0.001573569,-0.001536076,0.084541276,0.007147227,-0.003169537,0.051830992,0.002686452,3.145142857,2.093591192,4.38312408
23,Florida - Right Round.mp3,happy,2,123.046875,127201,1156.372727,0.400897081,0.299637596,0.089782689,0.488034057,0.287805823,0.082832192,0.249344854,0.145466413,0.021160477,7.015688709,67.06943446,4498.309039,0.866641315,37.26856338,1388.945816,0.011124304,2.899072092,8.404618994,4.059482098,2.848655462,8.1148386,2700.535256,821.2123686,674389.7544,2657.727288,434.5367614,188822.197,19.64153164,7.640903884,58.38341216,5815.831499,1600.781178,2562500.381,1.926409324,2.747631781,7.549480405,0.007906402,0.069134937,0.00477964,0.12699224,0.067713724,0.004585148,0.0000452,0.101845041,0.010372412,0.000129788,0.12085668,0.014606337,12.78606803,10.08795272,101.7667901
24,Globus - Take me away.mp3,sad,1,151.9990809,191920,1279.466667,0.288229975,0.309679581,0.095901443,0.379603551,0.293539461,0.086165415,0.215402843,0.192184674,0.036934949,1.067194318,10.70415438,114.5789209,-12.24285386,91.13048051,8304.764477,0.004661522,1.433142239,2.053896679,1.487624168,1.112414122,1.237465262,695.7151403,337.572982,113955.5182,1021.81088,485.4976063,235707.9258,24.37245403,6.548069022,42.87720792,1170.934586,1006.46382,1012969.421,0.456029814,0.663765386,0.440584487,0.005476558,0.08754497,0.007664122,0.031078043,0.0116779,0.000136373,-0.0000057,0.06254603,0.003912006,-0.0000013,0.011289089,0.000127444,2.01200907,1.155837822,1.33596107
25,Globus - Thousand Deaths.mp3,sad,1,135.9991776,178652,1258.112676,0.414298481,0.283215475,0.080211005,0.389382051,0.283668387,0.080467754,0.222889189,0.183449565,0.033653743,9.609018462,40.74106775,1659.834601,6.108056515,31.45654496,989.5142208,0.013958731,1.417640777,2.009705372,5.701161385,1.479744792,2.189644575,1989.337314,437.9278757,191780.8243,2089.410023,373.3703169,139405.3936,19.1103805,7.615343232,57.99345254,3987.117557,954.8532387,911744.7074,3.271087252,3.508646364,12.31059931,0.046769898,0.088471723,0.007827246,0.102124666,0.034928811,0.001220022,0.000143525,0.155091599,0.024053404,0.001162905,0.079369351,0.006299493,9.32861678,5.037220502,25.37359038
26,Imagine Dragons - Radioactive.mp3,happy,2,135.9991776,171634,1271.362963,0.365361971,0.297269026,0.088368874,0.488452639,0.268399763,0.072038433,0.253088905,0.138850061,0.01927934,15.97752145,139.1850681,19372.48319,0.941936879,40.01436931,1601.149752,0.013850195,2.368875103,5.611569253,6.028670788,4.282248974,18.33765602,1830.434792,743.156604,552281.7381,2063.199063,476.4348209,226990.1386,20.85932781,7.347844328,53.99081627,3765.685563,1575.051297,2480786.589,2.714162701,3.844959104,14.78371051,-0.001253918,0.067217617,0.004518208,0.081883103,0.050199679,0.002520008,0.00000733,0.19862777,0.039452989,0.0000809,0.10788808,0.011639838,4.203972789,2.251371587,5.068674023
27,Imagine Dragons - Warrior.mp3,angry,4,78.30255682,96895,1274.934211,0.349990664,0.285689661,0.081618582,0.506642854,0.26129877,0.068277047,0.257210757,0.131057087,0.01717596,8.244193189,45.07454532,2031.714636,1.908302944,37.44426431,1402.07293,0.005503734,1.767357853,3.123553782,4.815413475,2.383156538,5.679435253,1930.362907,546.0552709,298176.3588,2176.645657,427.6114919,182851.588,20.02704751,6.916516372,47.83819872,3936.630362,1333.65457,1778634.512,2.443521917,3.014163683,9.085182709,0.015831622,0.06479114,0.004197892,0.089114541,0.034039781,0.001158707,0.00000164,0.149282426,0.022285243,-0.0000335,0.067395568,0.004542162,2.363791383,1.199880906,1.439714188
28,K'naan - Waving Flag.mp3,happy,2,75.99954044,92219,1263.273973,0.333718314,0.310685262,0.096525332,0.526373964,0.288186018,0.083051181,0.256453838,0.132532118,0.017564762,7.665881763,58.61058842,3435.201075,0.657475056,36.21784053,1311.731972,0.01091064,2.760303387,7.61927479,4.516118526,2.565011024,6.57928133,2719.051263,832.9341011,693779.2168,2807.989342,417.317302,174153.7306,19.45091511,6.309187072,39.80584151,6133.112914,1616.907024,2614388.324,2.007062694,2.613242091,6.829034225,0.019607278,0.067454888,0.004550162,0.115158412,0.064214184,0.004123461,-0.00000642,0.1091813,0.011920555,0.000117855,0.110110119,0.012124239,2.964027211,1.540749851,2.373910102
29,Katy Perry - Firework.mp3,happy,2,123.046875,149489,1245.741667,0.319271761,0.30490407,0.092966492,0.569835431,0.268900072,0.072307249,0.266542322,0.110853615,0.012288524,6.33452847,52.46348492,2752.41725,-1.78458196,29.99545366,899.7272405,0.011549971,2.631254261,6.923498987,4.338088989,2.197864294,4.830607414,2828.94605,806.4568169,650372.5975,2534.681964,346.703843,120203.5548,21.2542257,6.699803652,44.88736897,5649.520005,1382.805201,1912150.224,1.930650675,2.326983599,5.41485267,0.006470377,0.054561037,0.002976907,0.145506679,0.072876649,0.005311006,-0.00000364,0.123941764,0.015361561,-0.0000205,0.097580649,0.009521983,4.987646259,2.732255666,7.465221022
30,Katy Perry - I Kissed a Girl.mp3,happy,2,129.1992188,166941,1284.161538,0.424609873,0.296794544,0.088087002,0.490908643,0.282824218,0.079989538,0.252563492,0.139803491,0.019545016,1.153504436,8.226192745,67.67024708,0.07277011,44.70453179,1998.495162,-0.000554184,3.10420526,9.636090293,1.90388,0.702271402,0.493185133,2586.705161,959.9057074,921418.967,2606.904154,479.561531,229979.262,19.27737467,6.677743707,44.59226102,5426.754685,1876.585012,3521571.306,0.855481724,0.987174264,0.974513027,-0.000464537,0.07007857,0.004911006,0.109073792,0.063048166,0.003975071,-0.00000133,0.053292528,0.002840093,0.0000233,0.035375156,0.001251401,2.426485261,1.529056493,2.338013758
31,Kesha - Dancing With Tears In My Eyes.mp3,happy,2,117.4538352,153190,1287.310924,0.404095201,0.312037854,0.097367622,0.577615568,0.272759526,0.074397759,0.269704098,0.102922461,0.010593033,9.673783125,70.2800849,4939.290333,2.968818018,34.10427065,1163.101277,0.011664829,3.533767499,12.48751274,5.34232235,2.381651163,5.672262669,2586.532187,1009.867538,1019832.444,2561.445742,592.319355,350842.2183,19.65683227,7.477825911,55.91788036,5468.846097,1893.07787,3583743.822,2.417972435,2.938257429,8.633356722,0.007903469,0.054098024,0.002926596,0.11707091,0.083681721,0.00700263,-0.0000106,0.127444252,0.016242037,-0.0000261,0.13391684,0.017933721,5.310403628,2.329727607,5.427630722
32,Laura Jansen - Use Somebody.mp3,sad,1,129.1992188,152569,1250.565574,0.281130342,0.295547935,0.087348582,0.398251896,0.280725999,0.078807087,0.229530481,0.17506882,0.030649092,3.950106138,26.72243843,714.0887156,-7.668213253,65.72611657,4319.922399,0.008448898,2.532107626,6.41156903,3.215786219,1.818070412,3.305379868,1317.696272,934.5078528,873304.9269,1383.170278,807.8206468,652574.1975,24.80586969,5.856771171,34.30176855,2423.514512,1809.438438,3274067.462,1.181530762,1.59207335,2.534697551,-0.006783966,0.096021452,0.009220119,0.068756576,0.053719638,0.002885799,-0.00000193,0.119287215,0.01422944,-0.0000408,0.035870176,0.00128667,9.111510204,5.619955321,31.58389781
33,League of Legends - Burning Brighter.mp3,sad,1,151.9990809,196235,1344.075342,0.324089405,0.295542356,0.087345284,0.359859827,0.301359738,0.090817692,0.208220243,0.199944152,0.039977664,8.249232477,49.29405197,2429.903559,3.319539251,38.53048236,1484.598071,0.012989594,1.771574072,3.138474692,4.933689117,2.334563255,5.450185299,2212.502062,689.9593225,476043.8666,2425.560799,505.7492592,255782.3132,22.9208803,5.923006278,35.08200337,4675.367562,1626.425913,2645261.251,2.186471113,2.739766483,7.506320381,-0.020125905,0.103971676,0.010810109,0.095594849,0.038878603,0.001511546,-0.0000317,0.167537481,0.028068809,-0.000231623,0.061699793,0.003806865,12.83831293,5.015746161,25.15770955
34,League of Legends - Get Jinxed.mp3,happy,2,89.10290948,109445,1257.988506,0.452530114,0.284025379,0.080670416,0.579252144,0.252445047,0.063728502,0.268786918,0.105294473,0.011086926,4.549776993,27.4669709,754.4344902,0.744114977,46.07069468,2122.508909,0.013679558,1.987664549,3.95081036,3.462542534,2.189370394,4.79334259,2727.59234,912.841228,833279.1075,2533.286186,362.2478199,131223.4831,19.03039829,7.429052799,55.19082549,5514.508321,1462.90677,2140096.217,1.966408862,2.61805056,6.854188736,0.002897829,0.05543358,0.003072882,0.136738402,0.079419146,0.006307401,0.0000129,0.09932667,0.009865787,0.0000762,0.068299763,0.004664857,2.449705215,1.419544668,2.015107065
35,Linkin Park - In the End.mp3,angry,4,103.359375,114020,1187.708333,0.392283811,0.290522472,0.084403307,0.512753815,0.2659971,0.070754457,0.257752831,0.129987736,0.016896812,3.010661633,17.40019048,302.7666289,-2.424366114,44.83900896,2010.536724,0.013677663,2.488881017,6.194528715,2.874552727,1.709442377,2.92219305,2232.005855,682.1114554,465276.0376,2143.177842,490.301717,240395.7737,20.14599599,7.283769336,53.05329574,4396.340083,1397.968996,1954317.313,1.602999383,2.125786632,4.518968803,-0.006133187,0.067674562,0.004579846,0.117040298,0.051461771,0.002648314,0.000000405,0.078016989,0.00608665,0.0000524,0.060906451,0.003709596,2.121142857,1.270160703,1.613308212
36,Linkin Park - Roads Untraveled.mp3,sad,1,99.38401442,124734,1272.795918,0.298325594,0.289053865,0.083552137,0.481603022,0.272188103,0.074086364,0.247894021,0.147925278,0.021881888,1.081165605,17.60949215,310.0942136,-8.400634075,47.73519719,2278.64905,0.000275448,3.317845269,11.00809723,1.753431559,1.183774471,1.401321888,3639.48644,1020.790592,1042013.433,2769.126829,313.9421788,98559.69166,22.84016437,8.611410023,74.15638258,7008.636786,1271.428472,1616530.359,0.700217137,1.002790473,1.005588732,0.011720811,0.08627112,0.007442706,0.291053607,0.134688175,0.018140904,-0.0000325,0.058694497,0.003445044,-0.0000653,0.035143379,0.001235057,1.926095238,1.015842498,1.03193598
37,Machinae Supremacy - Edge and Pearl.mp3,angry,4,123.046875,149078,1433.442308,0.422980605,0.306254246,0.093791663,0.500246482,0.279650431,0.078204364,0.246920246,0.149545061,0.022363725,13.47024773,100.5660779,10113.53602,5.567504793,56.59775283,3203.305626,0.013064685,1.542266813,2.378586922,5.861894131,3.677881002,13.52680874,1629.004255,990.4584443,981007.9299,1550.165576,860.8568074,741074.4428,21.41785613,7.300156228,53.29228096,3168.214176,1961.646888,3848058.512,2.781511369,4.105780732,16.85743542,-0.002884028,0.060380059,0.003645752,0.080054694,0.040728595,0.001658818,0.000000396,0.206255674,0.042541403,-0.0000182,0.074160367,0.00549976,2.92339229,1.844253577,3.401271257
38,Magic System - Magic in the Air.mp3,happy,2,129.1992188,162668,1280.850394,0.35159583,0.295835097,0.087518405,0.473733878,0.288565217,0.083269884,0.255017751,0.13527483,0.01829928,12.35239422,89.91046992,8083.892602,-1.617058777,34.84891623,1214.446963,0.013001072,2.419706467,5.854979387,5.881638527,3.426352739,11.73989296,3005.843303,595.1133473,354159.8962,2651.491055,294.72184,86860.96298,20.41536147,6.657935564,44.32810598,6064.892493,1087.293559,1182207.283,2.967544341,3.886427993,15.10432255,-0.006704283,0.079333349,0.00629378,0.147025377,0.064189879,0.004120341,0.0000114,0.182228699,0.033207301,0.000204679,0.106646612,0.0113735,2.777106576,1.531538642,2.345610612
